id_estado,estado_abrev,estado,ano,regiao_geo,desp_tot_saude_pc_mun,desp_recp_saude_pc_mun
12,AC,Acre,2010,Norte,"204,728572925001","114,166340402998"
27,AL,Alagoas,2010,Nordeste,"329,063873781108","124,854672884598"
13,AM,Amazonas,2010,Norte,"264,019788365628","163,538580281035"
16,AP,Amapá,2010,Norte,"233,824705054364","111,239862976315"
29,BA,Bahia,2010,Nordeste,"285,986433544663","120,605392216567"
23,CE,Ceará,2010,Nordeste,"332,322490660115","137,471102604779"
53,DF,Distrito Federal,2010,Centro-Oeste, , 
32,ES,Espírito Santo,2010,Sudeste,"334,350087935685","216,161929853339"
52,GO,Goiás,2010,Centro-Oeste,"374,105955139355","181,053304625747"
21,MA,Maranhão,2010,Nordeste,"328,692111899291","128,647051408715"
31,MG,Minas Gerais,2010,Sudeste,"415,173986685081","215,848926580463"
50,MS,Mato Grosso do Sul,2010,Centro-Oeste,"554,48297541251","286,225825947343"
51,MT,Mato Grosso,2010,Centro-Oeste,"426,874381993687","219,305980947622"
15,PA,Pará,2010,Norte,"261,02831177931","108,62213772173"
25,PB,Paraíba,2010,Nordeste,"358,79796385314","135,75964543334"
26,PE,Pernambuco,2010,Nordeste,"265,425922598137","133,46055605275"
22,PI,Piauí,2010,Nordeste,"357,241775136606","153,800521175803"
41,PR,Paraná,2010,Sul,"358,112401278543","205,382612830271"
33,RJ,Rio de Janeiro,2010,Sudeste,"405,499593895488","211,246515158972"
24,RN,Rio Grande do Norte,2010,Nordeste,"355,279624767162","180,920678241686"
11,RO,Rondônia,2010,Norte,"330,886132490553","186,492599063375"
14,RR,Roraima,2010,Norte,"339,459353162656","184,028347651347"
43,RS,Rio Grande do Sul,2010,Sul,"353,7819723481","212,304950034094"
42,SC,Santa Catarina,2010,Sul,"407,574225145198","235,41551181316"
28,SE,Sergipe,2010,Nordeste,"337,052394567658","135,740063616627"
35,SP,São Paulo,2010,Sudeste,"441,696441026346","319,635681557349"
17,TO,Tocantins,2010,Norte,"351,654654680151","193,055779965838"
12,AC,Acre,2011,Norte,"223,807200026796","118,153130155753"
27,AL,Alagoas,2011,Nordeste,"387,774932204838","153,935759053975"
13,AM,Amazonas,2011,Norte,"289,348271705512","180,511063219588"
16,AP,Amapá,2011,Norte,"243,462946627288","113,167851778676"
29,BA,Bahia,2011,Nordeste,"333,980872082214","152,299142375955"
23,CE,Ceará,2011,Nordeste,"368,514147865114","164,042649366511"
53,DF,Distrito Federal,2011,Centro-Oeste, , 
32,ES,Espírito Santo,2011,Sudeste,"376,583972404386","254,047218318625"
52,GO,Goiás,2011,Centro-Oeste,"435,513832370321","214,597053451049"
21,MA,Maranhão,2011,Nordeste,"350,377278915532","141,000251906967"
31,MG,Minas Gerais,2011,Sudeste,"477,477513954607","250,977542901926"
50,MS,Mato Grosso do Sul,2011,Centro-Oeste,"592,278278937188","305,081729458358"
51,MT,Mato Grosso,2011,Centro-Oeste,"463,015593875798","241,035602305955"
15,PA,Pará,2011,Norte,"292,333615493272","122,220136695699"
25,PB,Paraíba,2011,Nordeste,"416,664860205212","163,483225669973"
26,PE,Pernambuco,2011,Nordeste,"304,050198701689","149,364422402337"
22,PI,Piauí,2011,Nordeste,"420,300447278147","180,263135883384"
41,PR,Paraná,2011,Sul,"417,984577016635","250,919969013953"
33,RJ,Rio de Janeiro,2011,Sudeste,"483,851109744482","260,78457780871"
24,RN,Rio Grande do Norte,2011,Nordeste,"415,963905011429","207,842513994013"
11,RO,Rondônia,2011,Norte,"372,177918020734","219,128444782904"
14,RR,Roraima,2011,Norte,"294,208916043872","128,409618521505"
43,RS,Rio Grande do Sul,2011,Sul,"414,733669203756","252,056391739504"
42,SC,Santa Catarina,2011,Sul,"453,659658742745","267,292649333392"
28,SE,Sergipe,2011,Nordeste,"387,605208947532","154,169316804663"
35,SP,São Paulo,2011,Sudeste,"504,856829428989","367,717981781142"
17,TO,Tocantins,2011,Norte,"371,765664788948","204,416921373517"
12,AC,Acre,2012,Norte,"244,535708183862","129,59317994797"
27,AL,Alagoas,2012,Nordeste,"437,968866414882","169,810500176232"
13,AM,Amazonas,2012,Norte,"322,490153020789","223,44234033174"
16,AP,Amapá,2012,Norte,"259,684085555462","124,318954473137"
29,BA,Bahia,2012,Nordeste,"363,404405605878","166,502230570887"
23,CE,Ceará,2012,Nordeste,"416,791238274902","179,709913664935"
53,DF,Distrito Federal,2012,Centro-Oeste, , 
32,ES,Espírito Santo,2012,Sudeste,"440,009155613911","285,93388137785"
52,GO,Goiás,2012,Centro-Oeste,"507,073088493125","244,335247245688"
21,MA,Maranhão,2012,Nordeste,"384,673227633843","147,05925483255"
31,MG,Minas Gerais,2012,Sudeste,"552,433065622373","274,882234079994"
50,MS,Mato Grosso do Sul,2012,Centro-Oeste,"697,8332541089","347,923857800761"
51,MT,Mato Grosso,2012,Centro-Oeste,"517,616357459052","281,300674456113"
15,PA,Pará,2012,Norte,"327,190752893416","139,774344865184"
25,PB,Paraíba,2012,Nordeste,"493,923773795002","184,184589214901"
26,PE,Pernambuco,2012,Nordeste,"345,853902260145","164,435044480457"
22,PI,Piauí,2012,Nordeste,"480,437287187973","191,446674166173"
41,PR,Paraná,2012,Sul,"490,059250204793","289,774922110599"
33,RJ,Rio de Janeiro,2012,Sudeste,"567,1800953247","320,764581520408"
24,RN,Rio Grande do Norte,2012,Nordeste,"459,27966715009","227,356620889562"
