CD_UF,year,desp_tot_saude_pc_mun,desp_recp_saude_pc_mun
29,2018,566.0,262.0
23,2018,670.0,283.0
32,2018,576.0,334.0
52,2018,698.0,340.0
21,2018,609.0,225.0
31,2018,884.0,437.0
50,2018,1154.0,539.0
51,2018,958.0,526.0
15,2018,514.0,223.0
25,2018,703.0,264.0
26,2018,528.0,256.0
22,2018,847.0,338.0
41,2018,875.0,469.0
33,2018,820.0,426.0
24,2018,714.0,331.0
11,2018,577.0,322.0
14,2018,600.0,304.0
43,2018,810.0,434.0
42,2018,870.0,508.0
28,2018,599.0,285.0
35,2018,876.0,617.0
17,2018,673.0,319.0
12,2019,402.0,203.0
27,2019,770.0,265.0
13,2019,515.0,286.0
16,2019,387.0,170.0
29,2019,626.0,293.0
23,2019,738.0,311.0
32,2019,641.0,383.0
52,2019,751.0,376.0
21,2019,610.0,226.0
31,2019,956.0,472.0
50,2019,1240.0,619.0
51,2019,994.0,550.0
15,2019,557.0,239.0
25,2019,745.0,291.0
26,2019,560.0,276.0
22,2019,848.0,359.0
41,2019,927.0,517.0
33,2019,858.0,434.0
24,2019,768.0,372.0
11,2019,638.0,347.0
14,2019,651.0,306.0
43,2019,847.0,468.0
42,2019,936.0,557.0
28,2019,611.0,296.0
35,2019,937.0,659.0
17,2019,703.0,334.0
12,2020,474.0,214.0
27,2020,879.0,272.0
13,2020,680.0,329.0
16,2020,515.0,170.0
29,2020,752.0,318.0
23,2020,900.0,330.0
32,2020,725.0,392.0
52,2020,924.0,403.0
21,2020,745.0,250.0
31,2020,1156.0,511.0
50,2020,1418.0,618.0
51,2020,1197.0,620.0
15,2020,661.0,265.0
25,2020,893.0,310.0
26,2020,685.0,293.0
22,2020,1085.0,399.0
41,2020,1031.0,499.0
33,2020,998.0,423.0
24,2020,893.0,411.0
11,2020,761.0,372.0
14,2020,745.0,337.0
43,2020,977.0,473.0
42,2020,1097.0,563.0
28,2020,725.0,316.0
35,2020,1078.0,695.0
17,2020,897.0,378.0
12,2021,492.0,261.0
27,2021,937.0,339.0
13,2021,693.0,347.0
16,2021,488.0,221.0
29,2021,825.0,408.0
23,2021,943.0,407.0
32,2021,750.0,454.0
52,2021,1005.0,510.0
21,2021,765.0,309.0
31,2021,1296.0,613.0
50,2021,1566.0,786.0
51,2021,1416.0,791.0
15,2021,725.0,297.0
25,2021,969.0,391.0
26,2021,700.0,367.0
22,2021,1069.0,469.0
41,2021,1144.0,636.0
33,2021,1094.0,456.0
24,2021,1011.0,535.0
11,2021,876.0,451.0
14,2021,708.0,407.0
43,2021,1107.0,577.0
42,2021,1212.0,710.0
28,2021,768.0,370.0
35,2021,1189.0,823.0
17,2021,970.0,496.0
12,2022,633.0,329.0
27,2022,1123.0,421.0
13,2022,823.0,414.0
16,2022,606.0,282.0
29,2022,919.0,467.0
23,2022,1064.0,496.0
32,2022,896.0,559.0
52,2022,1111.0,575.0
21,2022,900.0,365.0
31,2022,1446.0,683.0
50,2022,1757.0,906.0
51,2022,1567.0,891.0
15,2022,826.0,366.0
25,2022,1133.0,500.0
26,2022,812.0,420.0
22,2022,1219.0,516.0
41,2022,1312.0,768.0
33,2022,1346.0,546.0
24,2022,1194.0,619.0
11,2022,1006.0,525.0
14,2022,946.0,495.0
43,2022,1230.0,657.0
42,2022,1321.0,828.0
28,2022,852.0,412.0
35,2022,1330.0,955.0
17,2022,1131.0,590.0
12,2023,777.0,362.0
27,2023,1234.0,471.0
13,2023,898.0,449.0
16,2023,769.0,285.0
29,2023,1028.0,511.0
23,2023,1195.0,542.0
32,2023,1054.0,611.0
52,2023,1218.0,705.0
21,2023,966.0,393.0
31,2023,1710.0,755.0
50,2023,1890.0,1019.0
51,2023,1780.0,1010.0
15,2023,900.0,396.0
25,2023,1274.0,578.0
26,2023,881.0,443.0
22,2023,1321.0,579.0
41,2023,1481.0,870.0
33,2023,1476.0,585.0
24,2023,1462.0,687.0
11,2023,1151.0,617.0
14,2023,1030.0,481.0
43,2023,1421.0,767.0
42,2023,1478.0,930.0
28,2023,956.0,477.0
35,2023,1494.0,1080.0
17,2023,1246.0,639.0
